alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,bandwidth_scale,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,fisher_damping,cg_iters,cg_tol,state_weight_update,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0003,3e-05,0.01,1000,0.1,40,1e-05,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,323.308175069993,0.25,-0.8239595620463325,-1.5330388679341178,4.066964023971923,0.08,-0.9449374071272578,-4.06365841941364,6.666027302612886,-3.492569497621977,-37.10877115320476,6.775324447213912,-1.0287986314580477,718.2016829102813,21.881319482675764,33.785537228709366,0.02342063368013688,63
0.0003,3e-05,0.01,1000,1.0,20,1e-05,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,331.35742852499243,0.18,-0.8331224536291999,-1.9213456611794042,4.389817733171499,0.08,-0.9521354626666167,-4.071237683664283,6.6695853897618465,-19.173920139221934,-37.777084786079556,-38.32158174841782,-12.19007665080188,1190.5736290690108,254.69702552498723,361.53028075280986,0.24825406360478572,76
0.0003,3e-05,0.01,1000,0.3,40,1e-05,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,330.34800632100087,0.16,-0.845765462587738,-1.504813235634678,4.269058925799523,0.08,-0.9449374071272578,-4.060869919062281,6.577492402137464,-12.597789787067228,-818.1003885746636,83.33380478590206,-7.657879228720345,1007.4278140023738,200.69964468794402,341.81739707151655,0.16685273808351145,72
0.0003,3e-05,0.01,1000,0.3,40,3e-08,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,306.0535713749996,0.13,-0.894284138456167,-2.713337661419709,5.644961647511515,0.08,-0.9511976491490388,-4.053799530980667,6.625558314395687,538.8490321731246,-2577.4512139800845,731.5465113951093,538.7162318246677,3887.9284485131843,580.6723530082102,466.5675455198599,0.6998106121875454,35
0.0003,3e-05,0.01,1000,0.1,20,1e-06,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,317.32629379900754,0.17,-0.8439148383458693,-0.9437894946621153,3.2343631635444727,0.07,-0.8449752923477536,-0.6631959993093136,2.0075174184939493,71.08366375777939,-1443.3768041962683,112.29331386886987,73.00917946274566,2082.9345232157884,106.81915530336009,102.30177561623121,0.27716536301409983,48
0.0003,3e-05,0.01,1000,0.1,40,1e-08,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,325.81356010500167,0.15,-0.8762910719407269,-2.6440476344002612,4.910928714537073,0.07,-0.9318779141315078,-4.772503244170329,6.708692427924481,121.10764021490152,1088.50073151062,-90.05235926096282,121.1519892054197,3067.185685756279,55.561428803027056,372.93878936350075,0.1259009530279126,69
0.0003,3e-05,0.01,1000,0.1,20,3e-07,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,332.97108880199085,0.12,-0.8459969542007627,-1.0502331543949481,3.629014225227783,0.07,-0.8449752923477536,-0.6410739357276819,1.9680831624997337,81.38466013976438,-1613.231853114597,130.75451180483086,81.83297058119595,2188.2585763734974,66.84664650058487,137.46961103713423,0.3351289916182639,78
0.0003,3e-05,0.01,1000,0.1,20,3e-06,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,302.5174586720095,0.47,-0.6995031979352865,0.028152131098060806,2.2576926440152825,0.06,-0.8527279154580634,-0.9267718954840486,3.640244541739799,-108.51494233685337,1488.8903509081056,-208.9667765458863,-103.91037257541684,1785.3463250185384,37.56352172741174,228.60035752848233,0.15299001054392092,29
0.0003,3e-05,0.01,1000,0.1,20,1e-07,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,333.267278653002,0.12,-0.8644688750072455,-1.5615165703442375,4.422830622862829,0.06,-0.8988873882277058,-2.3236769135006954,4.018604913208118,79.4472869225485,-1715.0181598005115,135.93641796905376,79.30131903845181,1876.1325849219895,61.303538017536994,109.89017389723057,0.4482458373124213,79
0.0003,3e-05,0.01,1000,0.3,20,3e-08,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,319.92900994500087,0.12,-0.8975190513939937,-3.0500972199831455,4.273397245489321,0.06,-0.9308660304127906,-4.632647805052984,4.398079676685026,50.33707556568518,-269.28989763138645,78.1256357534752,50.406325641100196,2731.587580030638,23.079319566522997,310.2533575805611,0.337960044876187,55
