problem,beta_update,T,alpha,eta,rho,beta_projection_radius,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,dataset_path,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
deterministic,fogas_diag,4000,0.001,0.001,0.2,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.73,1.0,0.6184999999999999,0.9300000000000002,1182.0412499119993,439
deterministic,fogas_diag,3000,0.001,0.0003,0.03,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.73,1.0,0.6172999999999998,0.9300000000000002,291.16130274999887,102
deterministic,fogas_diag,3000,0.001,0.0003,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.73,1.0,0.6172999999999998,0.9300000000000002,308.0594355459907,116
deterministic,fogas_diag,3000,0.001,0.0003,0.1,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.73,1.0,0.6172,0.9300000000000002,1028.7140515520005,389
deterministic,fogas_diag,3000,0.001,0.0003,0.01,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.73,1.0,0.6171999999999999,0.9300000000000002,585.5431867769803,257
deterministic,fogas_diag,3000,0.001,0.0003,0.2,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.73,1.0,0.6171,0.9300000000000002,762.1512733619893,316
deterministic,fogas_diag,3000,0.001,0.001,0.2,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.73,1.0,0.6144,0.9300000000000002,1036.0026008569985,395
deterministic,fogas_diag,4000,0.001,0.001,0.03,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.72,1.0,0.6069999999999999,0.9300000000000002,2307.2673741859617,1140
deterministic,fogas_diag,3000,0.001,0.001,0.01,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.72,1.0,0.6047999999999999,0.9300000000000002,1006.0665381760336,385
deterministic,fogas_diag,3000,0.001,0.001,0.03,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.71,1.0,0.5936999999999999,0.9300000000000002,1375.2422804560047,455
deterministic,fogas_diag,3000,0.001,0.001,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.71,1.0,0.5936999999999999,0.9300000000000002,1418.3488997279783,467
deterministic,fogas_diag,3000,0.001,0.001,0.1,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.71,1.0,0.5927,0.9300000000000002,261.6138880740036,98
deterministic,fogas_diag,2000,0.001,0.0003,0.03,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.71,1.0,0.5923999999999999,0.9300000000000002,211.30538225895725,40
deterministic,fogas_diag,2000,0.001,0.0003,0.01,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.71,1.0,0.5923999999999999,0.9300000000000002,215.83234739897307,42
deterministic,fogas_diag,2000,0.001,0.0003,0.1,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.71,1.0,0.5921999999999998,0.9300000000000002,466.0736888149986,130
deterministic,fogas_diag,2000,0.001,0.0003,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.71,1.0,0.5921999999999998,0.9300000000000002,675.3623047959991,227
deterministic,fogas_diag,1000,0.001,0.0003,0.1,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.71,1.0,0.5780999999999998,0.9300000000000002,159.6859981250018,29
deterministic,fogas_diag,1000,0.001,0.0003,0.2,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.71,1.0,0.5775999999999999,0.9300000000000002,443.6994984350167,119
deterministic,fogas_diag,1000,0.001,0.0003,0.03,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.71,1.0,0.5775999999999999,0.9300000000000002,866.4442477190169,300
deterministic,fogas_diag,1000,0.001,0.0003,0.01,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.71,1.0,0.5773999999999999,0.9300000000000002,378.6354745379649,81
deterministic,fogas_diag,1000,0.001,0.0003,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.71,1.0,0.5773999999999999,0.9300000000000002,443.21982022805605,118
deterministic,fogas_diag,1500,0.001,0.0003,0.2,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.7,1.0,0.5764999999999998,0.9300000000000002,1509.7697599260136,453
deterministic,fogas_diag,2000,0.001,0.0003,0.2,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.69,1.0,0.5712999999999998,0.9300000000000002,256.15523934498196,47
deterministic,fogas_diag,1500,0.001,0.0003,0.03,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.69,1.0,0.5651999999999999,0.9300000000000002,312.4303851269651,57
deterministic,fogas_diag,1500,0.001,0.0003,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.69,1.0,0.5650999999999998,0.9300000000000002,161.5928723909892,28
