alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_success_rate,greedy_avg_env_return,solver_mean_steps,solver_success_rate,solver_avg_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
3e-05,1e-08,0.02,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,943.5186191590037,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86467944841445,-47.279782125238675,-7.708355133604276,-109.8049878283608,270.28909668239754,7.829011649373803e-05,111.1086707456656,0.4431815410966912,37
3e-05,1e-08,0.1,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,943.976916382002,200.0,0.0,-200.0,200.0,0.0,-200.0,-353.44521961288575,-323.313393887525,-13.303828239849981,-353.4442669805792,939.3694980514799,12.872097524042196,364.7724365470034,0.7720085073269768,69
3e-05,1e-08,0.1,20000,0.0001,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,944.1946168770082,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.046488457202074,-13.591138880425511,-2.890225841412386,-36.979572604032235,192.1822559653288,2.9939141016006993e-05,38.98358707634391,0.4463948782368416,52
3e-05,1e-08,0.5,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,945.1638080549892,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86315106032241,-47.28577045857907,-7.7068267458273,-109.80346594531326,270.2613441991976,7.814764579093475e-05,111.11831889988953,0.4431753961664933,85
3e-05,1e-08,0.5,20000,0.0001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,946.2436864360061,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04599080580111,-13.59317364953187,-2.889728191419716,-36.979081566907794,116.15755955652267,2.97391332083219e-05,38.981024443448405,0.446388127615735,77
3e-05,1e-08,0.1,20000,0.0001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,946.3027274410124,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04647363278429,-13.591535411110945,-2.890211018228596,-36.97955907212815,116.17216255049702,2.973665880733244e-05,38.98471234363228,0.44639389514917893,53
3e-05,1e-08,0.02,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,946.3561096880003,200.0,0.0,-200.0,200.0,0.0,-200.0,-355.7775579929424,-252.84527342239642,-15.622408808067233,-355.7499701477173,855.9225357723553,11.953223890054561,696.8084131967329,0.4313022938045066,45
3e-05,1e-08,0.005,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,947.1931307679915,200.0,0.0,-200.0,200.0,0.0,-200.0,-354.17967028213593,-309.2138666927926,-14.03039551124124,-354.17679162658214,922.1620565081957,8.859608099141507,186.98591971006476,0.4745242872174108,21
3e-05,1e-08,0.5,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,947.8839439570147,200.0,0.0,-200.0,200.0,0.0,-200.0,-357.5472413664831,-319.8383108068889,-17.398813676423995,-357.5445043233561,942.0266320260436,2.126805897016622,250.5166419931491,1.488862926206039,93
3e-05,1e-08,0.1,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,947.9026119420014,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86442549456555,-47.28076736605766,-7.708101179111795,-109.80473494470544,270.28435537283224,7.828493906297953e-05,111.10824051203284,0.4431805199161828,61
3e-05,1e-08,0.02,20000,0.0001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,948.6684945330198,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.046570215352325,-13.59120754991444,-2.8903076007547948,-36.97965458964719,116.17516857915443,2.9736967702278516e-05,38.985437230354094,0.4463950488547598,29
3e-05,1e-08,0.005,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:6,ok,,963.6721196679864,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86367750834208,-47.30684723830927,-7.707353394045297,-109.80401537927028,252.7596770060221,0.00010786692958614763,111.11441831162526,0.4429323421866176,15
3e-05,1e-08,0.005,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,964.0348530260089,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86462036068576,-47.28890196849866,-7.7082960699258605,-109.80493867874941,257.9652129589643,7.899659624279669e-05,111.07096095260458,0.4431590500669313,14
3e-05,1e-08,0.1,20000,0.0001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,964.2765161970165,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04641302431341,-13.592152697356251,-2.8901504198377976,-36.9795004761006,99.71248614476139,2.9373648513117595e-05,38.98489254767446,0.44638573244197716,54
3e-05,1e-08,0.005,20000,0.0001,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:6,ok,,964.5693946240062,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04622142700714,-13.593746543994238,-2.889958916318403,-36.9793140779926,90.88286003389064,2.9297325140082417e-05,38.98704390055305,0.4463089271218223,6
3e-05,1e-08,0.1,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:6,ok,,965.3522797659971,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86337471098993,-47.308099882087475,-7.7070505959323405,-109.80371394289887,252.75978929210618,0.000107722262045811,111.13712908511653,0.44293113168513243,63
3e-05,1e-08,0.02,20000,0.0001,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:6,ok,,966.0653902060003,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04620331283196,-13.593810411362774,-2.8899408021503836,-36.97929617131383,90.8827716434311,2.9297228753619218e-05,38.986915778051,0.44630871083965123,30
3e-05,1e-08,0.1,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,966.0828937689948,200.0,0.0,-200.0,200.0,0.0,-200.0,-353.2225327425123,-291.81755945610183,-13.072189306956465,-353.2134907659346,972.3341614735457,1.1091832133555017,189.7350174097637,0.8660559299092975,70
3e-05,1e-08,0.005,20000,0.0003,10,1e-05,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,966.4369256799982,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86146114355562,-47.346452537417505,-7.705138899480204,-109.8018421697081,249.67815534744628,0.00012772876578741476,111.04439022354731,0.44069372417191033,16
3e-05,1e-08,0.02,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,967.142541868001,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.8645745168468,-47.288986314006976,-7.708250225461098,-109.80489292618009,257.96462332872716,7.898641369204727e-05,111.07143357401618,0.44315886527201237,38
