Dataset Size,Epsilon,Proportions,Init Mode,Coverage Ratio,Log Coverage,Task Success,On-Data Quality,Optimal States Quality,Final Reward
8000,0.3,80% Eps-Greedy / 20% Random,Fixed,65.40641199747778,1.8156203256732257,-1.4206094007995635,1.3707915308677903,0.2241048484134112,0.14206094007995632
12000,0.3,80% Eps-Greedy / 20% Random,Fixed,65.39539042397296,1.8155471369483343,-1.4587192631516885,2.10380642251168,0.48824456473332223,0.14587192631516882
16000,0.3,80% Eps-Greedy / 20% Random,Fixed,65.40696538314339,1.815624000103865,-1.3029378718299771,1.278034902083985,0.22341054294714677,0.1302937871829977
20000,0.3,80% Eps-Greedy / 20% Random,Fixed,65.39019271761563,1.815512617314954,-1.2183922709675084,1.2403480738352608,0.23438266252843673,0.12183922709675081
24000,0.3,80% Eps-Greedy / 20% Random,Fixed,65.41960218704668,1.8157078988764628,-1.6289652701888788,1.5842025884338433,0.2246922434239901,0.16289652701888785
8000,0.4,80% Eps-Greedy / 20% Random,Fixed,65.46267384458018,1.8159937402361281,-1.5735227051398615,1.4859945635679697,0.2516549025975012,0.15735227051398612
12000,0.4,80% Eps-Greedy / 20% Random,Fixed,65.48994370976443,1.8161746171420525,-1.7451843196740606,2.2796686956958556,0.4844842125055072,0.17451843196740602
16000,0.4,80% Eps-Greedy / 20% Random,Fixed,65.5072263283525,1.8162892111585034,-1.2097444958947912,1.1631533446318953,0.2218819774292323,0.12097444958947909
20000,0.4,80% Eps-Greedy / 20% Random,Fixed,65.4478062604841,1.8158950940505099,-1.5750202435321918,1.445950113989064,0.23437512021047305,0.15750202435321914
24000,0.4,80% Eps-Greedy / 20% Random,Fixed,65.49271039442547,1.8161929639359826,-1.0917479209457108,1.0818680751420418,0.21667344169609795,0.10917479209457105
8000,0.5,80% Eps-Greedy / 20% Random,Fixed,65.60754166274717,1.8169537648978913,-1.553603245500922,1.4450617565125128,0.22517629137841733,0.1553603245500922
12000,0.5,80% Eps-Greedy / 20% Random,Fixed,65.63903828632765,1.8171622093402147,-1.3669420430159256,1.3152138576290502,0.2310447200690865,0.13669420430159254
16000,0.5,80% Eps-Greedy / 20% Random,Fixed,65.64137888036512,1.8171776953829453,-1.3924111807521653,1.3611685118757162,0.22380157159685996,0.1392411180752165
20000,0.5,80% Eps-Greedy / 20% Random,Fixed,65.62337828547321,1.8170585840654778,-1.4305349027067171,1.3595824573654216,0.22352926353688005,0.14305349027067168
24000,0.5,80% Eps-Greedy / 20% Random,Fixed,65.58310000338773,1.8167919411919262,-1.5743801343387567,1.4990486072589415,0.23049632101579637,0.15743801343387565
8000,0.6,80% Eps-Greedy / 20% Random,Fixed,65.82647712283122,1.8184006133017983,-1.7579685133011749,1.698476306882823,0.2821244723951923,0.17579685133011744
12000,0.6,80% Eps-Greedy / 20% Random,Fixed,65.9629295957912,1.819299935617608,-1.5491205233097667,1.5283004338782102,0.2604418991796363,0.15491205233097663
16000,0.6,80% Eps-Greedy / 20% Random,Fixed,65.90910526524007,1.8189454160096687,-1.5769554285198684,1.6139763806566576,0.26067355497673506,0.1576955428519868
20000,0.6,80% Eps-Greedy / 20% Random,Fixed,65.91970439727872,1.8190152511933293,-1.7606419372754691,1.6616502793748456,0.24440501886732247,0.17606419372754686
24000,0.6,80% Eps-Greedy / 20% Random,Fixed,65.84432692125057,1.8185183625486472,-1.258989309205554,1.321106503743654,0.2564227359817313,0.12589893092055537
8000,0.7,80% Eps-Greedy / 20% Random,Fixed,66.77017901602431,1.8245825406122054,-1.5578443937869104,2.3816237865134537,0.9159016506663303,0.15578443937869102
12000,0.7,80% Eps-Greedy / 20% Random,Fixed,67.73453358605317,1.8308101446380072,-1.7292936995384103,2.4496112286708507,0.9490467464973118,0.17292936995384098
16000,0.7,80% Eps-Greedy / 20% Random,Fixed,66.45931189744847,1.822555840393066,-1.4917942772772437,2.1539657411919024,0.7451664616679762,0.14917942772772433
20000,0.7,80% Eps-Greedy / 20% Random,Fixed,67.35994185553727,1.8284017036128786,-1.6508815359004059,2.1876212066379024,0.7911756059959228,0.16508815359004056
24000,0.7,80% Eps-Greedy / 20% Random,Fixed,66.83222327423256,1.8249859088218894,-1.4564261652768389,1.6299031108016886,0.34619211737889016,0.14564261652768384
8000,0.3,70% Eps-Greedy / 30% Random,Fixed,65.51549563208444,1.8163440308558962,-2.020747914383,2.5230088350704785,0.4814525167378528,0.20207479143829996
12000,0.3,70% Eps-Greedy / 30% Random,Fixed,65.51707922261632,1.8163545281636135,-1.7573680201683268,1.7197339060670376,0.2322747741243034,0.17573680201683264
16000,0.3,70% Eps-Greedy / 30% Random,Fixed,65.5583144331663,1.8166277789163794,-1.2156618760394446,1.1911005218434407,0.21456236538136148,0.12156618760394444
