Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
16000,0.5,60% Eps-Greedy / 40% Random,50/50,1,3.9307911327383436,0.5944799676793784,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
20000,0.5,60% Eps-Greedy / 40% Random,50/50,1,4.374688598075085,0.6409471442266964,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
4000,0.7,60% Eps-Greedy / 40% Random,50/50,1,68.67133040111027,1.8367754612614546,1,-0.012256912615440175,0.016671186603066362,0.01667118660306635
8000,0.7,60% Eps-Greedy / 40% Random,50/50,1,32.37974330697385,1.5102734015264754,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
12000,0.7,60% Eps-Greedy / 40% Random,50/50,1,38.367918602529514,1.5839682400647677,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
16000,0.7,60% Eps-Greedy / 40% Random,50/50,1,21.887262104370073,1.3401914387113392,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
20000,0.7,60% Eps-Greedy / 40% Random,50/50,1,35.64911448716429,1.5520487465829895,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
4000,0.9,60% Eps-Greedy / 40% Random,50/50,1,90.17831255866034,1.9551021044090202,0,-0.1,17.247776051751366,17.160032964366806
8000,0.9,60% Eps-Greedy / 40% Random,50/50,1,84.99513635205017,1.9293940749390008,0,-0.1,18.057808995512534,17.970065908127975
12000,0.9,60% Eps-Greedy / 40% Random,50/50,1,84.10183053300702,1.9248054486128001,0,-0.1,2.1058340972294363,2.0180910098448765
16000,0.9,60% Eps-Greedy / 40% Random,50/50,1,83.4852146464527,1.9216095681060363,0,-0.1,2.1058340972294363,2.0180910098448765
20000,0.9,60% Eps-Greedy / 40% Random,50/50,1,88.70581044161304,1.947952068085192,0,-0.1,13.203366117131024,13.115623029746464
4000,0.1,40% Eps-Greedy / 60% Random,50/50,1,3.3580334290538367,0.5260850152032668,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
8000,0.1,40% Eps-Greedy / 60% Random,50/50,1,3.672432341948772,0.5649538034305793,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
12000,0.1,40% Eps-Greedy / 60% Random,50/50,1,3.55292160018809,0.5505856243254227,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
16000,0.1,40% Eps-Greedy / 60% Random,50/50,1,3.5594188238271585,0.5513790928578131,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
20000,0.1,40% Eps-Greedy / 60% Random,50/50,1,3.4000908688439364,0.5314905238981816,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
4000,0.3,40% Eps-Greedy / 60% Random,50/50,1,4.150510891732116,0.6181015578696726,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
8000,0.3,40% Eps-Greedy / 60% Random,50/50,1,4.395678709734498,0.6430259413290862,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
12000,0.3,40% Eps-Greedy / 60% Random,50/50,1,4.4381458408923145,0.6472015693818144,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
16000,0.3,40% Eps-Greedy / 60% Random,50/50,1,3.7577828752582665,0.5749316829488119,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
20000,0.3,40% Eps-Greedy / 60% Random,50/50,1,3.928613273369139,0.5942392796369408,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
4000,0.5,40% Eps-Greedy / 60% Random,50/50,1,4.645872227894092,0.667067261537486,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
8000,0.5,40% Eps-Greedy / 60% Random,50/50,1,5.968485085920372,0.7758641129862569,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
12000,0.5,40% Eps-Greedy / 60% Random,50/50,1,5.141059231930061,0.7110526075535131,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
16000,0.5,40% Eps-Greedy / 60% Random,50/50,1,6.2360485316330045,0.7949094863978811,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
20000,0.5,40% Eps-Greedy / 60% Random,50/50,1,6.054758744088005,0.7820968430697044,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
4000,0.7,40% Eps-Greedy / 60% Random,50/50,1,73.43957384743062,1.865930148091793,0,-0.1,2.1058340972294363,2.0180910098448765
8000,0.7,40% Eps-Greedy / 60% Random,50/50,1,35.23552666894542,1.5469807673249105,1,-0.012256912615440175,0.016671186603066362,0.01667118660306635
12000,0.7,40% Eps-Greedy / 60% Random,50/50,1,69.30690391414281,1.8407764984281616,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
16000,0.7,40% Eps-Greedy / 60% Random,50/50,1,68.53235891633132,1.8358956806969289,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
20000,0.7,40% Eps-Greedy / 60% Random,50/50,1,48.087594300587355,1.6820330509745458,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
4000,0.9,40% Eps-Greedy / 60% Random,50/50,1,98.20507078431942,1.9921339130088702,0,-0.1,4.792633492939261,4.704890405554702
8000,0.9,40% Eps-Greedy / 60% Random,50/50,1,95.61008646188616,1.9805037109337265,0,-0.1,4.792633492939261,4.704890405554702
12000,0.9,40% Eps-Greedy / 60% Random,50/50,1,85.29781890998508,1.9309379262734028,0,-1.9983603961000007,6.787380670051648,4.801277186567088
16000,0.9,40% Eps-Greedy / 60% Random,50/50,1,88.12226655069965,1.945085658903182,0,-0.1,17.39589165385277,17.30814856646821
20000,0.9,40% Eps-Greedy / 60% Random,50/50,1,89.6583163331455,1.9525905791194476,0,-0.1,2.1058340972294363,2.0180910098448765
4000,0.1,20% Eps-Greedy / 80% Random,50/50,1,5.8496862431551175,0.7671325726598455,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
8000,0.1,20% Eps-Greedy / 80% Random,50/50,1,6.38805043264504,0.8053683361660366,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
12000,0.1,20% Eps-Greedy / 80% Random,50/50,1,5.407021255038199,0.7329580767936122,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
