Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
4000,0.5,100% Eps-Greedy,100/0,1,2.904611645585321,0.4630880742637072,0,0.27241482944136813,5.12553233920531,4.865374422379382
8000,0.5,100% Eps-Greedy,100/0,1,2.905010482205859,0.4631477038024079,1,0.18193629643572015,3.238219108958927,3.0685397251386473
12000,0.5,100% Eps-Greedy,100/0,1,2.949286788726061,0.4697170054122065,0,0.2304222706580898,3.838631189193749,3.6204658311511
16000,0.5,100% Eps-Greedy,100/0,1,3.1939644259786664,0.5043300747056569,0,0.20376918401363966,3.575253846551831,3.383741575153631
20000,0.5,100% Eps-Greedy,100/0,1,2.9612853175798937,0.47148025334706345,0,0.246081533558329,4.142185871997649,3.90836125105476
4000,0.7,100% Eps-Greedy,100/0,1,21.467958282663837,1.3317907426786042,0,0.23593978138621421,5.546473015530009,5.322790146759235
8000,0.7,100% Eps-Greedy,100/0,1,15.999571070412664,1.2041083398903072,0,0.23161415546011235,5.1061624962179994,4.886805253373327
12000,0.7,100% Eps-Greedy,100/0,1,17.3121786161381,1.2383517242260933,0,0.20407746541476762,4.647333840774145,4.455513287974817
16000,0.7,100% Eps-Greedy,100/0,1,18.393205747585682,1.2646574289201507,0,0.19676911132640473,4.529294863610867,4.344782664899902
20000,0.7,100% Eps-Greedy,100/0,1,20.992622779114942,1.3220667019143673,0,0.20478052482199138,4.3417823266110664,4.149258714404515
4000,0.9,100% Eps-Greedy,100/0,1,146.19084935977534,2.164920189332314,0,0.21280583762283123,5.114804249023254,4.914255324015864
8000,0.9,100% Eps-Greedy,100/0,1,103.51906531266947,2.015020342040018,0,0.19386038459706295,5.869229337136389,5.687625865154766
12000,0.9,100% Eps-Greedy,100/0,1,159.72051861586326,2.203360711687852,0,0.1977971445144572,5.269805920581623,5.084265688682605
16000,0.9,100% Eps-Greedy,100/0,1,129.93610378554118,2.113729840035869,0,0.18715280340997392,5.87094299350518,5.696047102710645
