Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
20000,0.5,0% Eps-Greedy / 100% Random,100/0,0.0,133.56374962694449,0,-1.6376719208410009,3.682502945796908,2.047338705639729
4000,0.7,0% Eps-Greedy / 100% Random,100/0,0.0,160.6213386065059,0,-0.1,4.33820936772695,4.240717048410772
8000,0.7,0% Eps-Greedy / 100% Random,100/0,0.0,130.6939353006158,0,-0.1,3.2172465374338604,3.1197542181176825
12000,0.7,0% Eps-Greedy / 100% Random,100/0,0.0,113.41867818449127,0,-0.1,3.2172465374338604,3.1197542181176825
16000,0.7,0% Eps-Greedy / 100% Random,100/0,0.0,110.95654490558161,0,-0.1,3.2172465374338604,3.1197542181176825
20000,0.7,0% Eps-Greedy / 100% Random,100/0,0.0,123.34070590188345,0,-0.1,4.87793221194214,4.780439892625963
4000,0.9,0% Eps-Greedy / 100% Random,100/0,0.0,104.72005370479933,0,-0.1,3.2172465374338604,3.1197542181176825
8000,0.9,0% Eps-Greedy / 100% Random,100/0,0.0,133.8055293264197,0,-0.1,3.2172465374338604,3.1197542181176825
12000,0.9,0% Eps-Greedy / 100% Random,100/0,0.0,128.26293622947335,0,-0.1,3.2172465374338604,3.1197542181176825
16000,0.9,0% Eps-Greedy / 100% Random,100/0,0.0,112.58660232389849,0,-0.1,7.30226440405972,7.204772084743543
20000,0.9,0% Eps-Greedy / 100% Random,100/0,0.0,114.58427563047185,0,-0.1,3.2172465374338604,3.1197542181176825
4000,0.1,100% Eps-Greedy,100/0,1.0,1.5562154403586967,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
8000,0.1,100% Eps-Greedy,100/0,1.0,1.5685519425437706,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
12000,0.1,100% Eps-Greedy,100/0,1.0,1.5548846816774968,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
16000,0.1,100% Eps-Greedy,100/0,1.0,1.5678327517497097,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
20000,0.1,100% Eps-Greedy,100/0,1.0,1.5591099535680977,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
4000,0.3,100% Eps-Greedy,100/0,1.0,1.8582352105852993,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
8000,0.3,100% Eps-Greedy,100/0,1.0,1.8730747534044256,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
12000,0.3,100% Eps-Greedy,100/0,1.0,1.8615002616440834,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
16000,0.3,100% Eps-Greedy,100/0,1.0,1.8858132746955112,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
20000,0.3,100% Eps-Greedy,100/0,1.0,1.8694987507338487,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
4000,0.5,100% Eps-Greedy,100/0,1.0,2.83803754102791,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
