Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
8000,0.5,100% Eps-Greedy,100/0,1.0,3.0979400421184042,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
12000,0.5,100% Eps-Greedy,100/0,1.0,2.8557799003217466,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
16000,0.5,100% Eps-Greedy,100/0,1.0,2.9771287365240497,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
20000,0.5,100% Eps-Greedy,100/0,1.0,3.1213219364152174,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
4000,0.7,100% Eps-Greedy,100/0,1.0,21.972176453322938,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
8000,0.7,100% Eps-Greedy,100/0,1.0,30.842699096677123,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
12000,0.7,100% Eps-Greedy,100/0,1.0,26.36839513328896,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
16000,0.7,100% Eps-Greedy,100/0,1.0,20.747713161855597,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
20000,0.7,100% Eps-Greedy,100/0,1.0,35.14142515989084,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
4000,0.9,100% Eps-Greedy,100/0,1.0,117.28084057141677,0,-0.1,3.2172465374338604,3.1197542181176825
8000,0.9,100% Eps-Greedy,100/0,1.0,100.31268133963381,0,-0.36040608999999996,3.85943399598286,3.501535586666682
12000,0.9,100% Eps-Greedy,100/0,1.0,90.0720355947597,0,-0.1,3.2172465374338604,3.1197542181176825
16000,0.9,100% Eps-Greedy,100/0,1.0,86.42398598104974,0,-0.1,3.2172465374338604,3.1197542181176825
20000,0.9,100% Eps-Greedy,100/0,1.0,90.37904392060335,0,-0.1,3.2172465374338604,3.1197542181176825
4000,0.1,80% Eps-Greedy / 20% Random,100/0,1.0,1.8690640535152814,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
8000,0.1,80% Eps-Greedy / 20% Random,100/0,1.0,1.777817980014906,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
12000,0.1,80% Eps-Greedy / 20% Random,100/0,1.0,1.7523370073397175,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
16000,0.1,80% Eps-Greedy / 20% Random,100/0,1.0,1.7428714588696337,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
20000,0.1,80% Eps-Greedy / 20% Random,100/0,1.0,1.7462376519561533,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
4000,0.3,80% Eps-Greedy / 20% Random,100/0,1.0,2.112489275182078,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
8000,0.3,80% Eps-Greedy / 20% Random,100/0,1.0,2.047358169900818,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
12000,0.3,80% Eps-Greedy / 20% Random,100/0,1.0,2.0746554134022217,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
16000,0.3,80% Eps-Greedy / 20% Random,100/0,1.0,2.067416097876552,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
20000,0.3,80% Eps-Greedy / 20% Random,100/0,1.0,2.1997733000080326,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
4000,0.5,80% Eps-Greedy / 20% Random,100/0,1.0,3.2806095703559333,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
8000,0.5,80% Eps-Greedy / 20% Random,100/0,1.0,4.213788379923859,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
12000,0.5,80% Eps-Greedy / 20% Random,100/0,1.0,3.2707571570763503,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
16000,0.5,80% Eps-Greedy / 20% Random,100/0,1.0,3.3193778439006225,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
20000,0.5,80% Eps-Greedy / 20% Random,100/0,1.0,3.414580368663985,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
4000,0.7,80% Eps-Greedy / 20% Random,100/0,1.0,67.89537548685935,0,-0.36040608999999996,2.8845108028210844,2.526612393504907
8000,0.7,80% Eps-Greedy / 20% Random,100/0,1.0,21.033702316108275,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
12000,0.7,80% Eps-Greedy / 20% Random,100/0,1.0,66.55173446549578,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
16000,0.7,80% Eps-Greedy / 20% Random,100/0,1.0,25.725544901635892,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
20000,0.7,80% Eps-Greedy / 20% Random,100/0,1.0,21.644625072959787,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
4000,0.9,80% Eps-Greedy / 20% Random,100/0,1.0,92.93135619424525,0,-0.1,3.2172465374338604,3.1197542181176825
8000,0.9,80% Eps-Greedy / 20% Random,100/0,1.0,92.99720350440374,0,-0.1,3.2172465374338604,3.1197542181176825
12000,0.9,80% Eps-Greedy / 20% Random,100/0,1.0,89.61233503151065,0,-0.1,3.308044526687601,3.210552207371423
16000,0.9,80% Eps-Greedy / 20% Random,100/0,1.0,93.29097582278199,0,-0.1,3.2172465374338604,3.1197542181176825
20000,0.9,80% Eps-Greedy / 20% Random,100/0,1.0,81.00633665504016,0,-0.1,2.308515078438061,2.2110227591218834
4000,0.1,60% Eps-Greedy / 40% Random,100/0,1.0,2.147804825227018,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
